Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
21:22:27:33.353,61,0.0810862407,0.2022669613,0.1794266850,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0810851306,0.2047685385,0.0000000000,0.1430358291,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0171737224,0.0000000000,0.0000000000,0.0087855421,0.0544214882,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0683025047,0.0746595338,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0753622428,0.0676648840,0.0164785497,0.0137354592,0.0000000000,0.0000000000,0.0062427395,0.0064893989,0.0000000000,0.0000000000,0.0175217669,0.0018535713,0.0022875099,0.0085021034,0.0045353253,0.0000250756,0.0034686928,0.0106857903,0.0000000000,-0.0599695742,-0.1229389831,0.0420436524,0.1017758474,0.1154014617,0.0151793808,0.0961367637,0.1154175103,0.0233655144
21:22:27:34.354,61,0.0804849342,0.2060417533,0.1708762497,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0804839134,0.2084756494,0.0000000000,0.1352124810,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0165977925,0.0000000000,0.0000000000,0.0084040863,0.0530071557,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0670857951,0.0722058788,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0739152879,0.0661624894,0.0158638824,0.0132817905,0.0000000000,0.0000000000,0.0061777672,0.0064328304,0.0000000000,0.0000000000,0.0176492836,0.0036537051,0.0040941928,0.0081294030,0.0041681947,0.0000000000,0.0032887466,0.0103623429,0.0000000000,-0.0599695742,-0.1229389831,0.0420436524,0.0970338359,0.1174200624,0.0145581141,0.0914647281,0.1174363494,0.0229138862
21:22:27:35.356,61,0.0805951208,0.2082177103,0.1602382213,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0805940777,0.2105413377,0.0000000000,0.1256440580,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0161175895,0.0000000000,0.0000000000,0.0081663560,0.0521678962,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0659261718,0.0707208440,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0728643611,0.0649663806,0.0153165041,0.0128751136,0.0000000000,0.0000000000,0.0061481232,0.0064091510,0.0000000000,0.0000000000,0.0178525038,0.0053727403,0.0058206506,0.0077885161,0.0038888834,0.0000000000,0.0032071085,0.0101542454,0.0000000000,-0.0599695742,-0.1229389831,0.0420436524,0.0912559330,0.1185044348,0.0136673525,0.0856914818,0.1185207516,0.0221135076
21:22:27:36.358,61,0.0809499696,0.2073073387,0.1584649682,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0809480920,0.2096017003,0.0000000000,0.1240856573,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0156493504,0.0000000000,0.0000000000,0.0079755178,0.0516093932,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0645185113,0.0696649328,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0719926208,0.0640186369,0.0148144858,0.0124915056,0.0000000000,0.0000000000,0.0061241062,0.0063846451,0.0000000000,0.0000000000,0.0179652125,0.0068472968,0.0073116273,0.0074744103,0.0036610884,0.0000000000,0.0031581039,0.0099847522,0.0000000000,-0.0599695742,-0.1229389831,0.0420436524,0.0903241634,0.1179642081,0.0134675326,0.0847472399,0.1179804653,0.0218724590
21:22:27:37.359,61,0.0818156898,0.2073796690,0.1589909643,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0818063021,0.2096801549,0.0000000000,0.1246149242,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0151487971,0.0000000000,0.0000000000,0.0078098644,0.0511262305,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0637724251,0.0690648630,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0711567178,0.0628762469,0.0143322460,0.0121116797,0.0000000000,0.0000000000,0.0060942397,0.0063499361,0.0000000000,0.0000000000,0.0180095360,0.0078773918,0.0083529446,0.0071734879,0.0034804421,0.0000000000,0.0031119143,0.0098090200,0.0000000000,-0.0599695742,-0.1229389831,0.0420436524,0.0906423628,0.1180124134,0.0135251414,0.0850301683,0.1180286556,0.0219272971
21:22:27:38.361,61,0.0824700296,0.2064962685,0.1605162323,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0824586973,0.2088078409,0.0000000000,0.1260022521,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0146687515,0.0000000000,0.0000000000,0.0077322354,0.0509072505,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0635541454,0.0688929856,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0704910830,0.0620014407,0.0138677852,0.0117418887,0.0000000000,0.0000000000,0.0060805003,0.0063327481,0.0000000000,0.0000000000,0.0181921404,0.0087799113,0.0092655253,0.0068846056,0.0033673896,0.0000000000,0.0031124973,0.0096967956,0.0000000000,-0.0599695742,-0.1229389831,0.0420436524,0.0914841443,0.1175327599,0.0136303417,0.0858658999,0.1175489575,0.0219943970
21:22:27:39.362,61,0.0831780359,0.2066505849,0.1619233340,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0831661597,0.2089806199,0.0000000000,0.1272482127,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0142256422,0.0000000000,0.0000000000,0.0076682996,0.0506460480,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0638125613,0.0691235065,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0699663237,0.0612733439,0.0134148607,0.0113755232,0.0000000000,0.0000000000,0.0060654022,0.0063144183,0.0000000000,0.0000000000,0.0183054470,0.0095170541,0.0100089759,0.0066004442,0.0032652626,0.0000000000,0.0030954108,0.0095559629,0.0000000000,-0.0599695742,-0.1229389831,0.0420436524,0.0922333077,0.1176395863,0.0137652950,0.0866232365,0.1176558137,0.0221376475
21:22:27:40.364,61,0.0852697194,0.2082926631,0.1649021953,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0852625072,0.2106721401,0.0000000000,0.1299263537,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0138941053,0.0000000000,0.0000000000,0.0077201873,0.0507037751,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0640975758,0.0695155859,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0698747709,0.0608600639,0.0130737983,0.0111105358,0.0000000000,0.0000000000,0.0061039240,0.0063428869,0.0000000000,0.0000000000,0.0183371734,0.0097116958,0.0102018807,0.0063701393,0.0032080840,0.0000000000,0.0031799297,0.0095168483,0.0000000000,-0.0599695742,-0.1229389831,0.0420436524,0.0938336551,0.1186118722,0.0141139356,0.0882075578,0.1186281890,0.0225540157
21:22:27:41.365,61,0.0898267403,0.2077734619,0.1675873697,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0898248926,0.2101801932,0.0000000000,0.1324104816,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0137370126,0.0000000000,0.0000000000,0.0079278490,0.0516351983,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0644561127,0.0699541941,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0702320263,0.0607368909,0.0128980353,0.0109965680,0.0000000000,0.0000000000,0.0061961315,0.0064196629,0.0000000000,0.0000000000,0.0183096323,0.0089470502,0.0094227567,0.0062263743,0.0032493337,0.0000000000,0.0033629122,0.0096047325,0.0000000000,-0.0599695742,-0.1229389831,0.0420436524,0.0953332782,0.1183554232,0.0143478215,0.0896642655,0.1183716953,0.0227592904
21:22:27:42.367,61,0.0938706920,0.2075913548,0.1665671319,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0938727707,0.2099831551,0.0000000000,0.1315668225,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0136572272,0.0000000000,0.0000000000,0.0081974706,0.0523432940,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0643654540,0.0698947757,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0706133842,0.0606390461,0.0128033878,0.0109595498,0.0000000000,0.0000000000,0.0062970975,0.0065075350,0.0000000000,0.0000000000,0.0182530694,0.0082615921,0.0087251579,0.0061115366,0.0033332098,0.0000000000,0.0035627715,0.0097420169,0.0000000000,-0.0599695742,-0.1229389831,0.0420436524,0.0948267132,0.1182377636,0.0142522696,0.0891162902,0.1182540208,0.0226487275
