Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
07:49:18:11.206,61,0.0000000000,0.0035963082,0.0831285641,0.0000000000,0.0000000000,0.2773596048,0.1575233340,0.0000000000,0.0036243782,0.0342001319,0.0000000000,0.0000000000,0.2776834667,0.1579488069,0.0725192577,0.0090517914,0.0000000000,0.0453591123,0.0449111983,0.0567415804,0.1513901055,0.0250760317,0.0000000000,0.0857870877,0.0865033641,0.0000000000,0.0000000000,0.0359517001,0.0358031429,0.0675065517,0.0612197332,0.1367753297,0.0355449095,0.2897117436,0.1830213517,0.1359330267,0.1413916051,0.0777300969,0.0706792921,0.0292098615,0.0268621389,0.3512506485,0.3510291278,0.0218304265,0.0000000000,0.0000000000,0.0594226606,0.0706495941,0.0715540946,0.1275672764,0.1109208316,0.0000000012,0.0000000000,0.0000000000,0.0000000000,-0.0208916217,0.0022144902,-0.0000462610,0.0507802367,0.0021996950,0.0001116532
07:49:18:12.207,61,0.0000000000,0.0018231104,0.0808629170,0.0000000000,0.0000000000,0.2772280276,0.1570387334,0.0000000000,0.0018491099,0.0364557840,0.0000000000,0.0000000000,0.2775436044,0.1574641466,0.0725533068,0.0089221764,0.0000000000,0.0455604158,0.0450876169,0.0566399358,0.1510311365,0.0251281820,0.0000000000,0.0865178406,0.0867710412,0.0000000000,0.0000000000,0.0360839143,0.0359306410,0.0676697120,0.0613850318,0.1372228116,0.0356950462,0.2895566821,0.1827010810,0.1358184963,0.1412871480,0.0779795945,0.0708576664,0.0291673653,0.0268046092,0.3514580131,0.3512278199,0.0217872430,0.0000000000,0.0000000000,0.0591341704,0.0708105341,0.0715641156,0.1275952458,0.1109058335,0.0000000014,0.0000000000,0.0000000000,0.0000000000,-0.0222695563,0.0011298371,-0.0000251589,0.0493963137,0.0011150349,0.0000550562
07:49:18:13.208,61,0.0000000000,0.0000000000,0.0818332136,0.0000000000,0.0028119602,0.2776447833,0.1568748057,0.0000000000,0.0000000000,0.0354215726,0.0000000000,0.0027808745,0.2779516280,0.1572989523,0.0724144652,0.0087102363,0.0000000000,0.0459608622,0.0455558337,0.0564776845,0.1492982954,0.0252354499,0.0000000000,0.0948097333,0.0891918540,0.0000000000,0.0000000000,0.0361218937,0.0359679759,0.0679758042,0.0617243312,0.1374418437,0.0359054022,0.2613044679,0.1632013768,0.1336809397,0.1387746036,0.0788223073,0.0713509545,0.0290510710,0.0266637653,0.3570183516,0.3567398787,0.0217354912,0.0000000000,0.0000000000,0.0585367084,0.0710658208,0.0716405362,0.1279473305,0.1111667454,0.0000000015,0.0000000000,0.0000000000,0.0000000000,-0.0216377936,-0.0012136694,0.0000262591,0.0499890335,-0.0012284835,-0.0000613852
07:49:18:14.210,61,0.0000000000,0.0000000000,0.0828389153,0.0000000000,0.0042166295,0.2782175243,0.1573737413,0.0000000000,0.0000000000,0.0344231166,0.0000000000,0.0041871425,0.2785183787,0.1577942669,0.0724059567,0.0085328789,0.0000000000,0.0465494357,0.0463996343,0.0563159436,0.1459195763,0.0254207291,0.0000000000,0.1067219004,0.0976765007,0.0000000000,0.0000000000,0.0362260640,0.0360757373,0.0684946552,0.0622577146,0.1381387711,0.0362229608,0.2536031008,0.1565595716,0.1304417104,0.1353597045,0.0820109919,0.0731354207,0.0289894305,0.0265678782,0.3642864525,0.3639973104,0.0216854494,0.0000000000,0.0000000000,0.0577969067,0.0714106411,0.0718115792,0.1296933740,0.1119457483,0.0000000021,0.0000000000,0.0000000000,0.0000000000,-0.0210278537,-0.0018273895,0.0000384233,0.0506033339,-0.0018422098,-0.0000931823
07:49:18:15.212,61,0.0000000000,0.0000000000,0.0854410231,0.0000000000,0.0101619428,0.2804405689,0.1575154662,0.0000000000,0.0000000000,0.0316407569,0.0000000000,0.0101399403,0.2807270288,0.1579309702,0.0725816861,0.0083586406,0.0000000000,0.0470820107,0.0469867960,0.0561628677,0.1444975436,0.0254298672,0.0000000000,0.1104811653,0.1004185751,0.0000000000,0.0000000000,0.0364199132,0.0362815522,0.0689059496,0.0626974478,0.1398292929,0.0366504416,0.2499486804,0.1534010321,0.1293807030,0.1342688948,0.0833980292,0.0741258413,0.0288572796,0.0264316946,0.3755753934,0.3753262758,0.0215917695,0.0000000000,0.0000000000,0.0573010817,0.0716567561,0.0719004944,0.1304128617,0.1124260128,0.0000000035,0.0000000000,0.0000000000,0.0000000000,-0.0193280522,-0.0044252099,0.0000855259,0.0521924458,-0.0044400296,-0.0002316323
07:49:18:16.213,61,0.0000000000,0.0000000000,0.0863924846,0.0000000000,0.0074633756,0.2821422815,0.1575943679,0.0000000000,0.0000000000,0.0307285953,0.0000000000,0.0074385158,0.2824122012,0.1580052823,0.0727451742,0.0081302878,0.0000000000,0.0476496518,0.0475950502,0.0559785925,0.1434432566,0.0252747033,0.0000000000,0.1127178967,0.1031999066,0.0000000000,0.0000000000,0.0365960523,0.0364860557,0.0692593902,0.0631135479,0.1408060938,0.0370918214,0.2479265332,0.1514539570,0.1286019236,0.1334744245,0.0852199569,0.0756004751,0.0287317373,0.0263196267,0.3932210505,0.3929963112,0.0214860421,0.0000000000,0.0000000000,0.0567622148,0.0718332827,0.0719257742,0.1310869455,0.1130614877,0.0000000039,0.0000000000,0.0000000000,0.0000000000,-0.0187709332,-0.0032462371,0.0000609315,0.0527738892,-0.0032610523,-0.0001720191
07:49:18:17.215,61,0.0000000000,0.0000000000,0.0879328102,0.0000000000,0.0046978169,0.2837559581,0.1584878564,0.0000000000,0.0000000000,0.0292038061,0.0000000000,0.0046699215,0.2840107679,0.1588757932,0.0731693581,0.0078160465,0.0000000000,0.0482645631,0.0482151695,0.0558060072,0.1422786117,0.0249419883,0.0000000000,0.1146236435,0.1079797074,0.0000000000,0.0000000000,0.0368435234,0.0367696583,0.0696381852,0.0635823831,0.1464438885,0.0376178063,0.2472243756,0.1504762471,0.1280651838,0.1329600066,0.0868502706,0.0771659911,0.0286519509,0.0262654275,0.3987133801,0.3984985650,0.0214491077,0.0000000000,0.0000000000,0.0562750176,0.0722399950,0.0722065270,0.1318332255,0.1143753529,0.0000000037,0.0000000000,0.0000000000,0.0000000000,-0.0178395547,-0.0020379617,0.0000363545,0.0537149869,-0.0020527698,-0.0001102116
07:49:18:18.216,61,0.0000000000,0.0000000000,0.0912052318,0.0000000000,0.0036666396,0.2858897150,0.1592307836,0.0000000000,0.0000000000,0.0258475840,0.0000000000,0.0036379774,0.2861053348,0.1596046835,0.0736391917,0.0072938660,0.0000000000,0.0502806976,0.0504026152,0.0558538921,0.1415606141,0.0245294757,0.0000000000,0.1360848248,0.1282431483,0.0000000000,0.0000000000,0.0372618437,0.0372396111,0.0701784715,0.0643737242,0.1513608694,0.0382790826,0.2470552325,0.1497951299,0.1276993603,0.1326243430,0.0919917002,0.0818969011,0.0286630653,0.0263028443,0.4018680751,0.4016600251,0.0215188488,0.0000000000,0.0000000000,0.0557741486,0.0747703388,0.0740378797,0.1422561556,0.1261334568,0.0000000038,0.0000000000,0.0000000000,0.0000000000,-0.0157893728,-0.0015875649,0.0000250656,0.0557140410,-0.0016023595,-0.0000892278
07:49:18:19.218,61,0.0000000000,0.0016638172,0.0964642540,0.0000000000,0.0000000000,0.2863736749,0.1616344005,0.0000000000,0.0016907451,0.0204986613,0.0000000000,0.0000000000,0.2865721285,0.1619760245,0.0741575584,0.0068165190,0.0000000000,0.0573901720,0.0608050041,0.0562032387,0.1381392628,0.0242618416,0.0000000000,0.1908558011,0.1806845963,0.0000000000,0.0000000000,0.0378447026,0.0379904211,0.0734593272,0.0688352361,0.1573735625,0.0398036093,0.2433651537,0.1427658498,0.1241753772,0.1290849447,0.1114498079,0.0973945931,0.0288635548,0.0265015960,0.4030820429,0.4028762579,0.0217435267,0.0000000000,0.0000000000,0.0544745773,0.0832330808,0.0832349285,0.1594336629,0.1440800428,0.0000000027,0.0000000000,0.0000000000,0.0000000000,-0.0125219123,0.0010328984,-0.0000129335,0.0589266345,0.0010181353,0.0000599606
07:49:18:20.220,61,0.0000000000,0.0062657972,0.1008821577,0.0000000000,0.0000000000,0.2878428102,0.1637125164,0.0000000000,0.0063015269,0.0159907583,0.0000000000,0.0000000000,0.2880059481,0.1640250087,0.0745828971,0.0062649287,0.0000000000,0.0709961504,0.0873721540,0.0603164993,0.1281438321,0.0239352137,0.0000000000,0.2436236888,0.2414100915,0.0000000000,0.0000000000,0.0383702330,0.0386741534,0.0821818784,0.0793795139,0.1613204628,0.0416616164,0.2173516154,0.1249138862,0.1122835353,0.1159161031,0.1460711211,0.1280398965,0.0296338852,0.0271671452,0.4045566916,0.4043507874,0.0222199708,0.0000000000,0.0000000000,0.0490176976,0.1232199147,0.1280634403,0.2130998075,0.1994971484,0.0000000025,0.0000000000,0.0000000000,0.0000000000,-0.0097681265,0.0038495676,-0.0000376027,0.0616249479,0.0038348373,0.0002361733
